#{"t_start": 1776094817.1751578, "env_id": "None"}
r,l,t
12.75,18,1.514233
13.35,18,1.529525
-8.95,18,1.541314
12.35,18,1.551212
14.25,18,1.563441
2.55,18,1.575978
-8.6,18,1.587734
-9.35,18,1.59736
-7.95,18,1.605993
-9.15,18,1.611276
-8.05,18,1.619725
-8.7,18,1.619725
14.15,18,1.637856
14.1,18,1.641728
12.35,18,1.792979
13.35,18,1.804914
-8.5,18,1.817995
12.15,18,1.832175
-8.35,18,1.842191
-7.3,18,1.853399
2.0,18,1.866368
-8.85,18,1.878381
12.1,18,1.889001
13.55,18,1.898876
-9.15,18,1.910629
13.05,18,1.91889
13.0,18,1.929686
-9.25,18,1.940125
-8.3,18,1.992789
15.4,18,2.015834
14.2,18,2.028945
14.3,18,2.043864
11.95,18,2.055552
-8.95,18,2.06585
-8.4,18,2.080219
12.15,18,2.089542
15.95,18,2.10069
12.1,18,2.111273
-7.6,18,2.122098
16.8,18,2.132142
-9.1,18,2.142463
-8.35,18,2.154727
14.05,18,2.201503
15.35,18,2.209991
-8.45,18,2.220672
-8.65,18,2.231591
14.6,18,2.241246
13.2,18,2.251491
-8.65,18,2.262816
-8.1,18,2.273781
3.1,18,2.287664
-8.05,18,2.298685
-6.65,18,2.310101
-9.2,18,2.319993
-7.8,18,2.331244
13.65,18,2.340354
1.7,18,2.382627
13.45,18,2.394876
1.85,18,2.405479
13.5,18,2.416967
-8.6,18,2.426992
-8.0,18,2.437158
-7.65,18,2.447849
14.7,18,2.45937
13.4,18,2.469602
-8.4,18,2.479735
2.05,18,2.491743
14.05,18,2.504564
14.7,18,2.516689
-8.45,18,2.527117
1.85,18,2.538219
-8.45,18,2.582686
11.95,18,2.593271
-8.5,18,2.607013
-8.65,18,2.616985
-8.35,18,2.627552
11.8,18,2.64016
-8.5,18,2.649428
-8.75,18,2.660589
12.85,18,2.673975
11.7,18,2.684836
-8.35,18,2.695877
12.3,18,2.708233
-7.55,18,2.720858
12.6,18,2.731796
-8.25,18,2.786621
-9.0,18,2.797561
12.05,18,2.806964
-8.75,18,2.817146
13.4,18,2.829441
-7.1,18,2.839866
12.0,18,2.851564
12.0,18,2.863719
-8.5,18,2.871952
11.85,18,2.883942
14.0,18,2.89856
13.05,18,2.908656
12.0,18,2.92054
12.2,18,2.932728
13.05,18,2.979171
12.9,18,2.986583
-8.85,18,2.99884
12.8,18,3.004908
-7.2,18,3.016936
-8.35,18,3.027366
12.95,18,3.039179
2.0,18,3.051445
-8.85,18,3.062495
-8.45,18,3.071633
11.65,18,3.08638
1.4,18,3.097936
13.45,18,3.110596
2.6,18,3.120084
-8.85,18,3.167202
13.25,18,3.180556
15.75,18,3.188643
12.3,18,3.203398
-7.9,18,3.210992
-9.1,18,3.222949
12.6,18,3.233152
12.1,18,3.243386
11.95,18,3.25545
1.95,18,3.266086
12.45,18,3.27882
-8.75,18,3.289688
3.0,18,3.296057
-8.6,18,3.307811
-8.25,18,3.32006
12.35,18,3.411308
13.1,18,3.422988
-7.9,18,3.433269
13.9,18,3.443147
12.3,18,3.453228
11.95,18,3.4593
-9.55,18,3.471439
13.9,18,3.478214
-8.65,18,3.495672
-6.9,18,3.505821
2.15,18,3.515943
-7.9,18,3.519958
12.6,18,3.536308
-7.8,18,3.546536
-8.1,18,3.595997
12.4,18,3.609168
13.2,18,3.619521
-7.4,18,3.630157
12.0,18,3.642231
-7.5,18,3.654689
-8.6,18,3.668024
-8.6,18,3.680613
12.0,18,3.691692
-8.75,18,3.701745
-8.75,18,3.714144
-6.3,18,3.726074
2.1,18,3.738053
-7.2,18,3.752408
-8.05,18,3.80846
-7.6,18,3.818892
13.35,18,3.831824
-7.95,18,3.840804
-9.0,18,3.853213
13.1,18,3.865337
-8.8,18,3.875671
14.05,18,3.887635
-7.85,18,3.900436
14.05,18,3.912627
-8.25,18,3.926074
1.5,18,3.936215
14.45,18,3.945193
12.6,18,3.956761
-8.4,18,4.005193
2.0,18,4.017431
12.4,18,4.029547
-7.6,18,4.04109
-8.3,18,4.053945
12.65,18,4.06385
13.35,18,4.074128
12.1,18,4.086496
14.0,18,4.097301
12.35,18,4.108397
-8.6,18,4.120711
-7.8,18,4.131013
14.05,18,4.139831
-8.7,18,4.152215
12.9,18,4.198886
1.85,18,4.209384
-8.6,18,4.219605
-8.35,18,4.230077
-7.4,18,4.241046
-7.2,18,4.253178
13.75,18,4.263323
-8.95,18,4.27377
12.8,18,4.283468
-7.25,18,4.291652
12.45,18,4.303987
-7.75,18,4.311959
13.4,18,4.324149
14.15,18,4.333977
-6.35,18,4.345274
-6.9,18,4.386504
14.0,18,4.401045
15.2,18,4.411043
13.4,18,4.416955
-7.1,18,4.431121
-8.3,18,4.443156
13.0,18,4.447279
12.15,18,4.464878
12.65,18,4.473756
-8.9,18,4.483454
-8.0,18,4.495572
-6.5,18,4.505867
-8.55,18,4.516063
-9.1,18,4.531942
-8.1,18,4.582575
-7.45,18,4.58872
-7.45,18,4.601269
13.25,18,4.610932
-9.4,18,4.616796
-8.55,18,4.631243
1.75,18,4.640967
-8.95,18,4.647384
-8.8,18,4.661621
-7.85,18,4.67281
1.9,18,4.685434
2.95,18,4.696833
12.1,18,4.731959
-9.65,18,4.739829
-8.35,18,4.788476
11.25,18,4.798826
1.5,18,4.80893
-8.9,18,4.816822
11.5,18,4.828963
12.05,18,4.839034
14.2,18,4.847026
-6.65,18,4.858384
-7.5,18,4.868908
12.1,18,4.880552
12.15,18,4.893041
14.6,18,4.903698
12.2,18,4.913802
12.85,18,4.922363
-9.0,18,4.96843
14.0,18,4.9825
-8.55,18,4.993411
-7.95,18,5.004562
12.25,18,5.01515
-8.75,18,5.023263
11.95,18,5.033468
-8.35,18,5.040965
-8.0,18,5.053098
-7.25,18,5.063612
-9.1,18,5.073682
1.95,18,5.085432
-7.65,18,5.096624
-8.85,18,5.107669
14.45,18,5.116133
14.25,18,5.162177
13.35,18,5.173108
-7.3,18,5.182381
-9.0,18,5.192461
-8.35,18,5.205787
12.6,18,5.218734
-7.9,18,5.228607
14.4,18,5.235119
-8.85,18,5.247006
-8.1,18,5.257275
-8.75,18,5.265544
13.35,18,5.279794
12.15,18,5.291835
-8.35,18,5.303835
-8.6,18,5.346516
-7.7,18,5.356109
12.05,18,5.368367
4.0,18,5.378934
12.3,18,5.390615
1.5,18,5.402766
13.2,18,5.414837
-8.7,18,5.671603
-7.45,18,5.677407
12.1,18,5.6895
-8.3,18,5.695657
12.25,18,5.702011
12.0,18,5.707688
2.2,18,5.719717
12.75,18,5.768209
14.45,18,5.776771
-8.05,18,5.786534
-7.75,18,5.797149
3.85,18,5.807005
-9.0,18,5.817111
-7.6,18,5.828786
13.15,18,5.840965
15.75,18,5.851265
-8.1,18,5.860037
13.95,18,5.869159
13.95,18,5.881453
-7.7,18,5.890004
13.4,18,5.901509
12.0,18,5.948386
-9.2,18,5.962048
11.8,18,5.974495
14.0,18,5.986356
12.8,18,5.992505
2.75,18,6.00465
-8.35,18,6.016634
-7.35,18,6.027298
14.3,18,6.037914
-8.65,18,6.048707
14.35,18,6.059139
12.05,18,6.082123
-7.2,18,6.094021
-8.35,18,6.103882
-8.6,18,6.150976
13.2,18,6.160325
13.75,18,6.172477
-8.35,18,6.182314
2.25,18,6.198278
13.05,18,6.216645
-8.45,18,6.233379
-8.75,18,6.243211
13.05,18,6.253483
13.75,18,6.263477
2.0,18,6.27133
12.95,18,6.283306
-9.4,18,6.293788
-9.35,18,6.305878
12.45,18,6.318422
12.15,18,6.36424
14.25,18,6.368141
-7.8,18,6.386306
3.65,18,6.396669
12.7,18,6.405843
2.15,18,6.416629
3.65,18,6.428947
13.0,18,6.438799
1.8,18,6.447014
-8.4,18,6.457199
11.85,18,6.467432
2.0,18,6.48139
-8.2,18,6.493643
2.85,18,6.504223
-7.4,18,6.548798
2.0,18,6.558247
14.1,18,6.5705
13.95,18,6.580252
13.05,18,6.590062
14.6,18,6.6027
13.15,18,6.613438
14.0,18,6.626131
15.8,18,6.63678
-8.75,18,6.646881
12.25,18,6.655041
13.05,18,6.665143
12.65,18,6.675515
1.75,18,6.685313
-8.15,18,6.738323
13.15,18,6.74869
11.95,18,6.758718
-7.6,18,6.768096
-7.15,18,6.780232
-6.65,18,6.78667
16.3,18,6.79846
12.25,18,6.804578
2.55,18,6.819327
-7.65,18,6.829921
1.75,18,6.842858
12.65,18,6.853125
-7.9,18,6.863473
-7.45,18,6.873401
13.65,18,6.917274
12.3,18,6.926437
14.35,18,6.937834
2.1,18,6.949073
2.95,18,6.958163
-7.7,18,6.968827
-7.45,18,6.97827
13.4,18,6.986243
12.75,18,6.998393
-7.85,18,7.004622
12.2,18,7.016861
13.45,18,7.032911
12.0,18,7.044569
-8.85,18,7.054985
13.5,18,7.063085
-7.5,18,7.107531
1.95,18,7.119942
12.55,18,7.13172
-8.45,18,7.141986
13.15,18,7.151899
14.1,18,7.161989
13.6,18,7.172516
12.05,18,7.184945
-8.45,18,7.19468
13.4,18,7.204345
-7.45,18,7.216595
15.7,18,7.22876
12.7,18,7.24303
-7.75,18,7.254615
-8.0,18,7.34129
12.05,18,7.353154
12.9,18,7.365038
