#{"t_start": 1776073570.119304, "env_id": "None"}
r,l,t
13.35,18,3.694485
-8.65,18,3.921295
12.35,18,3.947556
-8.25,18,3.959749
-8.45,18,3.96778
-8.35,18,3.978629
12.6,18,3.987041
13.6,18,3.993991
13.65,18,4.03614
2.8,18,4.048831
13.0,18,4.059856
-8.8,18,4.070689
11.7,18,4.087795
12.45,18,4.099672
-8.05,18,4.109625
-8.65,18,4.117537
-9.8,18,4.124205
-7.95,18,4.133452
2.1,18,4.144418
13.85,18,4.153564
12.05,18,4.162645
3.5,18,4.17244
-7.4,18,4.209131
14.2,18,4.214963
-8.9,18,4.225492
-7.7,18,4.233498
-8.65,18,4.243271
12.35,18,4.251932
-9.25,18,4.261394
1.8,18,4.270962
13.35,18,4.279129
-7.2,18,4.28717
12.45,18,4.296118
12.1,18,4.307898
-7.75,18,4.317509
15.3,18,4.32733
12.45,18,4.363564
14.0,18,4.372079
-9.15,18,4.381825
-8.1,18,4.391847
-7.2,18,4.401241
-6.85,18,4.410244
12.7,18,4.415526
13.05,18,4.427562
14.25,18,4.434771
-8.9,18,4.441996
13.5,18,4.451987
-8.8,18,4.460145
-8.4,18,4.469632
-7.7,18,4.478794
13.6,18,4.487267
2.15,18,4.523702
14.8,18,4.532161
14.0,18,4.536092
12.6,18,4.548925
-7.65,18,4.557807
12.5,18,4.567164
-8.8,18,4.574917
1.85,18,4.585817
-8.5,18,4.594122
14.1,18,4.601964
14.4,18,4.601964
-8.5,18,4.620692
13.1,18,4.628701
-8.9,18,4.638679
1.85,18,4.673785
13.15,18,4.680839
13.95,18,4.692371
12.65,18,4.700381
-7.65,18,4.70839
-9.5,18,4.717882
3.15,18,4.725629
-8.25,18,4.737645
-7.85,18,4.745395
-8.75,18,4.753146
-8.15,18,4.762678
-8.4,18,4.762678
1.85,18,4.775187
1.55,18,4.775187
-6.25,18,4.824179
1.6,18,4.826179
13.05,18,4.826179
12.65,18,4.841986
-7.75,18,4.841986
-8.85,18,4.86477
-8.45,18,4.870777
13.75,18,4.881792
-7.65,18,4.891544
14.65,18,4.899553
11.4,18,4.907305
12.55,18,4.917057
-8.65,18,4.926241
-6.75,18,4.93484
-8.45,18,4.969241
-8.1,18,4.98073
15.5,18,4.988842
-7.25,18,4.996674
11.95,18,5.009137
2.8,18,5.017725
14.0,18,5.024987
14.7,18,5.034882
-8.25,18,5.039882
12.9,18,5.051451
-7.65,18,5.061382
12.75,18,5.073651
-8.45,18,5.082377
3.5,18,5.090541
-8.35,18,5.099404
12.4,18,5.136266
13.3,18,5.144799
-8.85,18,5.152452
13.2,18,5.163604
-6.55,18,5.171271
2.05,18,5.180196
13.4,18,5.189795
14.2,18,5.197047
16.45,18,5.207883
-6.5,18,5.215768
11.95,18,5.224537
-8.7,18,5.234301
-7.75,18,5.242844
-8.4,18,5.25376
12.55,18,5.302536
-7.8,18,5.312581
-8.4,18,5.318075
14.25,18,5.331216
-7.15,18,5.336959
-8.25,18,5.349439
12.05,18,5.354804
1.45,18,5.366577
-6.85,18,5.372647
13.9,18,5.383451
1.7,18,5.392756
12.0,18,5.402857
-8.9,18,5.413984
-7.15,18,5.423463
11.9,18,5.457553
-8.4,18,5.468519
-7.6,18,5.475799
12.45,18,5.487785
-8.7,18,5.493653
13.45,18,5.505928
-8.5,18,5.514359
-8.9,18,5.518319
-7.95,18,5.529888
12.2,18,5.5362
13.35,18,5.548303
-5.05,18,5.555181
12.55,18,5.577591
13.1,18,5.586553
13.65,18,5.621849
12.25,18,5.632216
-8.3,18,5.641214
-7.9,18,5.645528
-8.75,18,5.658479
11.9,18,5.668589
-7.4,18,5.675593
12.15,18,5.681944
14.7,18,5.693888
12.7,18,5.69989
-8.7,18,5.712471
-8.35,18,5.723201
-8.55,18,5.730176
-8.05,18,5.741321
13.05,18,5.778698
15.45,18,5.78474
13.15,18,5.790816
-8.15,18,5.80238
16.45,18,5.809926
2.35,18,5.815532
13.0,18,5.821208
-9.15,18,5.83313
2.2,18,5.841195
14.2,18,5.845146
-7.55,18,5.856503
-9.4,18,5.864562
-7.55,18,5.869359
13.55,18,5.879985
12.7,18,5.887714
14.3,18,5.924572
12.25,18,5.93426
12.25,18,5.942271
12.65,18,5.948924
-7.45,18,5.959849
-8.7,18,5.966586
12.5,18,5.972601
12.6,18,5.98445
14.0,18,5.994417
-8.65,18,6.00281
11.75,18,6.00885
13.2,18,6.021002
2.6,18,6.029341
12.35,18,6.039281
1.6,18,6.075594
13.7,18,6.081608
-8.4,18,6.08819
-7.65,18,6.100202
-8.4,18,6.107705
-8.2,18,6.111904
12.15,18,6.123471
11.95,18,6.132721
-8.75,18,6.142457
11.8,18,6.151164
2.75,18,6.159688
12.25,18,6.170269
11.8,18,6.182361
12.35,18,6.191108
12.7,18,6.226914
12.2,18,6.234076
13.8,18,6.23915
12.6,18,6.252682
13.55,18,6.258037
12.05,18,6.268452
-7.85,18,6.277601
14.7,18,6.285936
12.35,18,6.292828
13.75,18,6.302114
15.65,18,6.309154
13.3,18,6.318105
13.25,18,6.326411
-8.65,18,6.336414
-7.35,18,6.370473
14.7,18,6.379024
-8.0,18,6.387998
-9.1,18,6.396842
-6.3,18,6.404935
12.75,18,6.41509
2.6,18,6.424245
14.3,18,6.433205
12.95,18,6.442246
12.45,18,6.450274
12.25,18,6.456282
2.35,18,6.465294
13.6,18,6.473305
12.9,18,6.481055
13.1,18,6.490809
12.9,18,6.525168
13.2,18,6.532958
-8.65,18,6.541446
-7.4,18,6.549458
13.15,18,6.559212
11.75,18,6.567533
13.75,18,6.571567
12.45,18,6.571567
-8.6,18,6.593236
13.75,18,6.600986
1.9,18,6.608476
-8.85,18,6.616506
-8.45,18,6.623502
-8.55,18,6.634207
-8.05,18,6.669061
-8.1,18,6.669061
13.35,18,6.686774
-6.45,18,6.696813
-8.6,18,6.704587
-7.65,18,6.712618
12.9,18,6.722397
14.75,18,6.730425
14.3,18,6.739656
-8.45,18,6.748041
13.45,18,6.759229
-8.25,18,6.766448
12.15,18,6.777119
11.8,18,6.785745
12.4,18,6.819874
1.8,18,6.828359
14.1,18,6.835601
11.95,18,6.842659
-8.95,18,6.851313
-7.55,18,6.858366
-8.3,18,6.865018
2.25,18,6.874554
13.1,18,6.883381
-8.15,18,6.891385
-7.75,18,6.898732
-7.4,18,6.898732
14.35,18,6.913893
12.1,18,6.913893
-7.55,18,6.954987
-8.5,18,7.112268
-7.7,18,7.120838
1.75,18,7.130001
12.1,18,7.138114
-7.75,18,7.146772
11.8,18,7.155094
12.3,18,7.162956
-8.35,18,7.169436
3.7,18,7.176889
13.15,18,7.183588
12.75,18,7.19175
1.75,18,7.198859
11.85,18,7.201794
13.5,18,7.237939
-8.7,18,7.248128
12.45,18,7.250129
12.3,18,7.265776
-8.25,18,7.273787
-8.5,18,7.281015
-8.8,18,7.290768
14.3,18,7.298777
-8.05,18,7.310791
2.2,18,7.319896
13.05,18,7.327958
-9.0,18,7.341473
12.45,18,7.35057
-8.15,18,7.358235
-8.15,18,7.365767
11.9,18,7.401735
12.75,18,7.410364
13.75,18,7.419859
12.6,18,7.428154
-9.2,18,7.436143
-7.95,18,7.445337
11.35,18,7.452229
12.9,18,7.462543
-8.65,18,7.470713
-7.65,18,7.479741
-8.45,18,7.48737
-7.75,18,7.49731
-9.25,18,7.505674
-8.7,18,7.511549
12.3,18,7.552198
-8.15,18,7.553198
3.0,18,7.56883
14.4,18,7.56883
12.05,18,7.587388
-8.5,18,7.595649
-5.8,18,7.601698
1.8,18,7.601698
-8.2,18,7.619947
-8.75,18,7.631965
-9.1,18,7.64292
-7.85,18,7.651287
-8.5,18,7.65937
12.75,18,7.667087
-6.4,18,7.699687
12.5,18,7.704686
13.15,18,7.704686
-8.45,18,7.722665
-6.6,18,7.728686
12.45,18,7.736458
2.05,18,7.745253
13.05,18,7.753161
12.2,18,7.760789
-7.9,18,7.769043
-8.25,18,7.777432
-7.65,18,7.785487
14.65,18,7.795239
-6.65,18,7.802989
12.8,18,7.838787
-8.9,18,7.847115
14.4,18,7.85642
-8.05,18,7.865189
12.95,18,7.874465
12.2,18,7.882712
12.3,18,7.88671
12.1,18,7.88671
12.55,18,7.906489
12.3,18,7.914518
12.35,18,7.922282
-8.45,18,7.930309
13.4,18,7.934236
13.1,18,7.934236
11.9,18,7.955929
14.35,18,7.983673
-8.3,18,7.983673
-5.95,18,8.007408
3.2,18,8.017164
14.1,18,8.023173
12.1,18,8.030922
-8.3,18,8.042936
12.55,18,8.054692
12.35,18,8.062442
11.75,18,8.071068
12.65,18,8.080392
13.7,18,8.089445
13.4,18,8.100587
15.6,18,8.109292
-7.8,18,8.141704
-8.3,18,8.155277
-8.2,18,8.161785
-8.55,18,8.171312
13.3,18,8.178131
-8.55,18,8.188461
12.75,18,8.196979
2.65,18,8.20568
-8.7,18,8.212989
-8.25,18,8.220922
12.4,18,8.228037
-8.65,18,8.235646
-8.0,18,8.244069
1.55,18,8.252092
13.05,18,8.285861
4.0,18,8.294646
2.2,18,8.298589
14.8,18,8.298589
13.15,18,8.313651
-8.7,18,8.313651
-7.85,18,8.331557
-8.85,18,8.339567
14.4,18,8.349319
-8.8,18,8.359331
2.0,18,8.367081
13.6,18,8.375091
-8.6,18,8.382841
14.6,18,8.392594
13.9,18,8.425896
12.35,18,8.43208
1.7,18,8.43208
13.85,18,8.451805
12.25,18,8.461613
-8.1,18,8.470134
13.55,18,8.480726
12.15,18,8.486631
14.0,18,8.49321
12.9,18,8.51071
13.2,18,8.51723
12.15,18,8.52689
12.0,18,8.535559
-7.35,18,8.544509
-8.3,18,8.577775
-8.55,18,8.589577
-8.6,18,8.595586
-6.9,18,8.609233
-8.55,18,8.614386
1.45,18,8.626138
-9.75,18,8.634177
13.45,18,8.642285
-8.4,18,8.652519
12.85,18,8.657137
-7.3,18,8.669282
-7.1,18,8.679499
-8.4,18,8.688435
-8.8,18,8.697809
12.75,18,8.707596
15.05,18,8.742667
-6.95,18,8.75078
12.25,18,8.759541
2.6,18,8.768021
-7.6,18,8.775409
-8.3,18,8.784239
13.2,18,8.79048
12.8,18,8.801564
12.0,18,8.809557
-8.65,18,8.819722
-6.55,18,8.825793
15.8,18,8.838322
-8.55,18,8.843981
-6.85,18,8.850028
-8.25,18,8.892518
14.5,18,8.898871
13.45,18,8.909157
12.05,18,8.919127
12.0,18,8.929159
-8.4,18,8.939024
12.0,18,8.94732
3.0,18,8.953395
-8.75,18,8.965513
-7.35,18,8.971625
2.2,18,8.983766
-7.55,18,8.989472
-8.2,18,8.995521
-5.6,18,9.007633
-8.95,18,9.040781
-7.3,18,9.043986
13.2,18,9.056494
1.7,18,9.062683
13.3,18,9.074712
12.6,18,9.082699
-9.0,18,9.091635
12.7,18,9.09858
1.5,18,9.109588
-9.3,18,9.119022
-8.1,18,9.1281
-8.7,18,9.136809
12.7,18,9.144752
15.4,18,9.153919
-8.4,18,9.190074
-7.95,18,9.199056
15.2,18,9.207633
12.4,18,9.216627
11.85,18,9.223851
12.75,18,9.231999
11.9,18,9.24056
11.9,18,9.244274
2.9,18,9.255352
15.7,18,9.263414
-7.25,18,9.270406
12.15,18,9.278633
12.75,18,9.285633
12.5,18,9.292432
-9.15,18,9.300714
-7.5,18,9.335455
-7.45,18,9.343184
12.15,18,9.353195
15.05,18,9.359575
11.75,18,9.368283
13.2,18,9.377579
2.8,18,9.383396
12.25,18,9.39584
-8.1,18,9.401888
-9.2,18,9.414008
13.0,18,9.419751
13.65,18,9.430129
-8.4,18,9.438239
3.9,18,9.44391
12.8,18,9.480363
-8.5,18,9.486992
-8.35,18,9.498994
16.1,18,9.504927
-8.2,18,9.510969
-8.8,18,9.517115
-8.5,18,9.52913
14.25,18,9.535189
12.25,18,9.541535
-8.65,18,9.547551
-7.05,18,9.559564
1.85,18,9.568412
12.15,18,9.578326
-8.55,18,9.587387
13.4,18,9.619961
11.85,18,9.629086
-8.7,18,9.637273
11.75,18,9.638273
-8.35,18,9.655878
2.95,18,9.661625
2.55,18,9.669637
-7.45,18,9.677646
-8.5,18,9.687398
14.95,18,9.688902
-7.75,18,9.703414
-8.55,18,9.711165
-8.3,18,9.718915
1.95,18,9.724922
13.25,18,9.755176
11.9,18,9.766584
14.15,18,9.77197
11.85,18,9.783749
13.95,18,9.789771
12.7,18,9.797798
2.75,18,9.805568
-8.65,18,9.813597
-8.7,18,9.821366
12.95,18,9.831402
3.15,18,9.839172
13.45,18,9.845193
-7.95,18,9.852961
12.85,18,9.862994
-7.35,18,9.897608
12.15,18,9.904782
-7.6,18,9.911123
-6.4,18,9.918875
13.5,18,9.926625
-7.4,18,9.932633
14.95,18,9.940383
15.3,18,9.950396
-8.4,18,9.952139
-8.95,18,10.103747
11.7,18,10.111793
1.15,18,10.120856
14.2,18,10.122856
-8.5,18,10.122856
-7.7,18,10.138665
12.15,18,10.177436
13.75,18,10.177436
14.1,18,10.193167
-9.35,18,10.204823
-8.1,18,10.212836
-7.4,18,10.222067
-8.85,18,10.230819
12.35,18,10.23857
-6.4,18,10.24632
-7.4,18,10.254066
-8.7,18,10.264689
15.1,18,10.274729
12.15,18,10.28476
14.3,18,10.292521
1.7,18,10.32891
11.95,18,10.32891
-7.9,18,10.344635
-8.9,18,10.344635
14.3,18,10.344635
12.9,18,10.365433
12.45,18,10.375134
13.35,18,10.383466
-8.15,18,10.390965
12.1,18,10.399192
13.75,18,10.407204
12.55,18,10.416956
-9.4,18,10.424706
1.65,18,10.432193
14.45,18,10.467306
12.9,18,10.46991
11.75,18,10.485665
-7.65,18,10.493415
-8.85,18,10.503168
12.05,18,10.512923
1.85,18,10.522964
12.15,18,10.530745
2.7,18,10.534759
16.3,18,10.548782
3.2,18,10.556792
-8.35,18,10.568288
-8.65,18,10.575538
12.15,18,10.587184
-7.5,18,10.607524
-7.65,18,10.625885
13.3,18,10.633799
-7.35,18,10.642011
-7.8,18,10.644009
12.55,18,10.659723
15.75,18,10.666982
12.65,18,10.675475
13.9,18,10.685228
-6.25,18,10.692977
-7.05,18,10.700727
2.55,18,10.707644
12.4,18,10.716657
13.0,18,10.724408
-9.7,18,10.732418
-8.0,18,10.765103
12.0,18,10.773566
-7.8,18,10.777565
1.7,18,10.777565
-8.15,18,10.797125
-7.25,18,10.805253
-8.35,18,10.815007
-9.25,18,10.822758
-8.65,18,10.832959
13.35,18,10.841336
-7.65,18,10.85023
-8.45,18,10.85826
13.15,18,10.86627
3.05,18,10.874021
2.3,18,10.908133
-8.2,18,10.915178
-8.35,18,10.923187
-7.75,18,10.928936
14.15,18,10.936945
12.1,18,10.944697
12.1,18,10.954166
12.95,18,10.960592
12.05,18,10.970603
-8.4,18,10.980357
-7.3,18,10.988107
-8.5,18,10.996118
-7.65,18,11.002125
-7.05,18,11.009875
-6.45,18,11.044007
13.05,18,11.052842
13.35,18,11.060044
-7.85,18,11.062044
13.35,18,11.074625
-8.15,18,11.082135
-9.25,18,11.082135
13.7,18,11.095294
-9.45,18,11.095294
-7.5,18,11.110209
-6.7,18,11.126067
-7.6,18,11.134617
12.5,18,11.143807
-8.45,18,11.151837
-8.3,18,11.186196
-8.35,18,11.195767
-8.95,18,11.20634
-8.9,18,11.218102
-8.75,18,11.225943
-8.45,18,11.233971
11.75,18,11.239991
-6.35,18,11.248019
11.7,18,11.255787
-8.1,18,11.263815
13.2,18,11.27405
-6.5,18,11.282337
-8.2,18,11.286337
14.75,18,11.286337
11.7,18,11.332623
11.8,18,11.334623
-8.85,18,11.350456
12.55,18,11.350456
14.4,18,11.368348
-8.35,18,11.376857
12.25,18,11.384366
-9.0,18,11.391853
-7.8,18,11.399862
-9.0,18,11.407871
15.3,18,11.41562
-8.7,18,11.423369
13.05,18,11.429114
12.85,18,11.438341
-8.05,18,11.446954
1.55,18,11.480414
-8.45,18,11.480414
11.95,18,11.498152
13.2,18,11.506179
12.0,18,11.515947
-7.95,18,11.525699
12.45,18,11.533449
-9.05,18,11.542941
-9.2,18,11.550428
11.95,18,11.558919
-8.6,18,11.564928
-9.15,18,11.572937
-8.5,18,11.576683
-7.75,18,11.590692
16.05,18,11.62203
12.05,18,11.630787
14.5,18,11.637784
-8.25,18,11.637784
-8.95,18,11.653491
12.15,18,11.653491
-8.2,18,11.670851
-6.5,18,11.67886
12.95,18,11.68661
12.4,18,11.696362
12.45,18,11.704371
14.45,18,11.714122
-6.6,18,11.721872
-8.2,18,11.731625
-6.55,18,11.766129
13.2,18,11.771129
-7.8,18,11.771129
-7.35,18,11.788918
-8.65,18,11.796927
-8.25,18,11.802675
-8.8,18,11.810683
-8.6,18,11.820694
12.35,18,11.830187
-9.15,18,11.837937
-9.2,18,11.84795
3.55,18,11.8557
-7.15,18,11.86371
-8.6,18,11.87146
12.9,18,11.905036
-6.4,18,11.91437
1.9,18,11.922599
13.0,18,11.922599
-8.6,18,11.938372
11.95,18,11.948411
13.65,18,11.956183
-5.8,18,11.964213
2.6,18,11.973492
-7.95,18,11.981521
12.0,18,11.991552
1.75,18,11.999562
12.6,18,12.007054
-8.55,18,12.012801
2.05,18,12.020811
13.8,18,12.056041
14.55,18,12.056041
-8.4,18,12.073621
11.7,18,12.081642
-7.75,18,12.091417
2.55,18,12.099447
12.75,18,12.10722
13.1,18,12.117257
-7.85,18,12.125028
11.9,18,12.134794
1.85,18,12.140802
13.25,18,12.148812
11.8,18,12.158808
13.2,18,12.165314
-8.0,18,12.201423
-9.05,18,12.201423
-9.6,18,12.217195
-8.0,18,12.227233
-8.0,18,12.235004
-7.0,18,12.243033
12.15,18,12.252808
15.95,18,12.260836
16.4,18,12.270591
13.55,18,12.2781
11.95,18,12.287266
-8.5,18,12.295277
13.45,18,12.305029
-8.4,18,12.313039
14.95,18,12.346827
11.85,18,12.355949
13.25,18,12.358953
11.95,18,12.374527
14.05,18,12.382537
-8.2,18,12.390287
12.9,18,12.400038
11.95,18,12.407785
-9.0,18,12.419539
13.2,18,12.427289
12.45,18,12.436002
11.9,18,12.443642
-6.95,18,12.450032
13.15,18,12.450032
13.4,18,12.488147
-8.7,18,12.500582
15.35,18,12.504582
2.7,18,12.504582
13.7,18,12.520505
-8.95,18,12.520505
12.35,18,12.542553
1.35,18,12.552715
12.2,18,12.559008
16.65,18,12.559008
-7.75,18,12.578573
-9.35,18,12.586323
4.65,18,12.594333
11.35,18,12.604405
3.65,18,12.625576
12.8,18,12.645313
-8.7,18,12.653219
-8.45,18,12.662339
1.75,18,12.668472
-7.05,18,12.676962
-8.55,18,12.684114
-8.7,18,12.692125
-7.3,18,12.698132
-7.35,18,12.707625
12.1,18,12.717636
13.65,18,12.723643
12.85,18,12.733394
12.5,18,12.739401
14.05,18,12.747152
12.75,18,12.783304
13.2,18,12.789372
-8.6,18,12.789372
-8.45,18,12.809094
1.75,18,12.817125
-9.1,18,12.828912
-8.65,18,12.840697
1.85,18,12.848727
12.4,18,12.856498
-9.15,18,12.866524
12.9,18,12.875278
2.05,18,12.88429
13.5,18,12.89204
-8.45,18,12.901529
-7.45,18,12.934937
-9.0,18,12.945074
12.5,18,13.104864
13.25,18,13.111055
-8.8,18,13.120918
-7.8,18,13.12869
-7.3,18,13.12869
-8.2,18,13.144709
13.25,18,13.152758
-8.05,18,13.158881
-8.05,18,13.158881
12.65,18,13.174939
16.3,18,13.174939
-8.25,18,13.189666
1.85,18,13.221542
-8.45,18,13.229781
11.85,18,13.231782
1.8,18,13.247418
12.85,18,13.255168
14.0,18,13.261175
12.35,18,13.271187
13.55,18,13.279197
12.85,18,13.286947
-7.9,18,13.296699
-7.2,18,13.302705
13.05,18,13.310713
14.05,18,13.317652
12.8,18,13.323659
1.5,18,13.357667
-8.05,18,13.364746
-9.15,18,13.374285
12.6,18,13.382039
11.95,18,13.390048
13.7,18,13.39806
12.7,18,13.403807
14.1,18,13.41382
2.05,18,13.423572
-7.4,18,13.431581
-9.3,18,13.44136
12.9,18,13.447366
11.95,18,13.455116
12.65,18,13.462865
11.75,18,13.472877
14.55,18,13.524554
-8.65,18,13.532305
-7.45,18,13.538312
-8.25,18,13.546321
-8.7,18,13.552068
-8.1,18,13.552068
-7.95,18,13.564081
12.55,18,13.574627
12.2,18,13.580137
13.15,18,13.595803
3.65,18,13.605841
-7.8,18,13.615619
-7.45,18,13.623648
-8.7,18,13.633412
12.5,18,13.67001
-7.05,18,13.675515
11.95,18,13.675515
14.25,18,13.69605
12.7,18,13.705829
-6.95,18,13.713859
12.6,18,13.723632
-7.8,18,13.731654
13.0,18,13.74143
15.0,18,13.74946
-7.65,18,13.757212
2.1,18,13.764715
13.3,18,13.771018
-8.7,18,13.775116
-8.35,18,13.814461
12.15,18,13.822738
12.2,18,13.825737
-7.4,18,13.839387
-7.2,18,13.847397
-8.35,18,13.857151
-8.0,18,13.86699
11.45,18,13.87389
-6.35,18,13.880609
16.9,18,13.887968
-8.05,18,13.896589
-9.4,18,13.904598
13.15,18,13.914293
-7.5,18,13.922302
14.3,18,13.958034
13.25,18,13.965924
-7.3,18,13.970922
14.9,18,13.97547
-8.25,18,13.990978
12.9,18,13.998988
-8.85,18,14.009595
-8.7,18,14.017345
12.95,18,14.026579
-8.4,18,14.034328
12.35,18,14.044341
12.5,18,14.052351
-7.4,18,14.062104
-7.35,18,14.071333
12.8,18,14.092267
1.95,18,14.111211
2.05,18,14.120259
13.5,18,14.127468
-8.2,18,14.128469
13.05,18,14.128469
2.0,18,14.15009
2.1,18,14.161921
-8.15,18,14.161921
