#{"t_start": 1776068034.2659597, "env_id": "None"}
r,l,t
-7.9,18,4.052639
-8.6,18,4.135258
12.45,18,4.153046
-8.95,18,4.161921
12.9,18,4.166922
11.75,18,4.178653
13.0,18,4.192988
-8.6,18,4.199055
12.0,18,4.246084
1.85,18,4.258105
-7.7,18,4.27165
1.8,18,4.282661
-8.35,18,4.293762
-8.25,18,4.305541
-8.55,18,4.313174
-7.6,18,4.322985
-8.0,18,4.331989
3.4,18,4.342273
14.1,18,4.349582
11.8,18,4.36028
1.7,18,4.369344
13.75,18,4.378459
-8.4,18,4.414484
12.5,18,4.414484
-7.65,18,4.434013
-8.7,18,4.442893
12.55,18,4.452716
-8.4,18,4.46233
-8.65,18,4.469486
1.8,18,4.480481
12.25,18,4.487255
13.3,18,4.498661
-8.3,18,4.509472
1.35,18,4.519917
2.7,18,4.530079
-7.75,18,4.535724
12.5,18,4.573338
14.15,18,4.582428
-9.1,18,4.589587
-8.3,18,4.600989
-7.1,18,4.612778
-6.55,18,4.620946
-6.6,18,4.626717
2.0,18,4.63885
-8.2,18,4.648139
-9.25,18,4.656624
12.9,18,4.667295
-9.05,18,4.677283
12.1,18,4.685495
-9.1,18,4.69343
-8.45,18,4.70275
13.7,18,4.736209
13.4,18,4.741211
12.2,18,4.753234
-7.35,18,4.762313
-7.55,18,4.771386
12.2,18,4.780001
-8.75,18,4.788632
-8.2,18,4.79681
13.5,18,4.806583
14.15,18,4.814537
14.4,18,4.825958
-7.55,18,4.832753
14.45,18,4.845208
14.2,18,4.850736
12.05,18,4.888863
-8.3,18,4.892863
13.6,18,4.906319
12.35,18,4.911073
-9.0,18,4.923592
-8.8,18,4.931909
12.6,18,4.941086
-8.35,18,4.948256
2.0,18,4.953963
12.0,18,4.966282
-7.85,18,4.976729
-8.55,18,4.984666
1.35,18,4.992175
-8.85,18,5.003738
2.6,18,5.026026
12.35,18,5.044887
13.45,18,5.056211
-8.7,18,5.062954
-6.55,18,5.076552
-8.95,18,5.084707
1.75,18,5.09248
13.95,18,5.100922
13.0,18,5.11393
3.0,18,5.122552
11.9,18,5.131973
2.9,18,5.143911
-8.9,18,5.153147
-8.4,18,5.162
-7.9,18,5.19367
-7.65,18,5.195673
-9.05,18,5.210649
12.95,18,5.221988
11.95,18,5.226595
13.0,18,5.239373
13.95,18,5.248117
13.3,18,5.257449
12.55,18,5.264896
2.7,18,5.275405
11.25,18,5.285161
-8.4,18,5.294935
-9.0,18,5.30469
16.15,18,5.311749
13.0,18,5.321622
12.7,18,5.355397
-7.95,18,5.363758
-8.45,18,5.372483
13.45,18,5.380425
13.15,18,5.387572
-8.6,18,5.396754
12.8,18,5.407725
12.65,18,5.414903
15.45,18,5.421901
-8.75,18,5.432292
-8.75,18,5.438661
-8.3,18,5.454062
-7.9,18,5.46261
13.55,18,5.470274
13.6,18,5.504739
-7.6,18,5.514229
12.15,18,5.521802
-8.65,18,5.529976
4.75,18,5.540316
-8.05,18,5.549246
-8.65,18,5.557465
-7.9,18,5.565208
-8.0,18,5.57242
13.75,18,5.578221
11.85,18,5.59017
12.15,18,5.601521
12.5,18,5.61142
-8.6,18,5.619896
12.0,18,5.655171
-8.15,18,5.669623
-7.5,18,5.678477
1.85,18,5.688769
12.0,18,5.699131
14.5,18,5.707333
-8.05,18,5.711837
12.55,18,5.723783
-7.75,18,5.732162
1.9,18,5.741014
14.35,18,5.751295
-8.2,18,5.759876
-8.65,18,5.769274
-7.5,18,5.778031
13.75,18,5.813338
12.0,18,5.814345
-9.4,18,5.831858
13.7,18,5.840018
-8.8,18,5.845206
-8.3,18,5.858179
-8.9,18,5.864087
13.3,18,5.875704
13.35,18,5.884234
1.75,18,5.910705
12.8,18,5.917214
-8.3,18,5.930786
-9.2,18,5.940734
-8.15,18,5.950064
-8.6,18,5.984501
15.2,18,5.992705
-7.2,18,6.002244
-7.8,18,6.010798
-4.45,18,6.019725
13.7,18,6.028069
-7.4,18,6.034393
12.1,18,6.038771
-8.45,18,6.050688
-6.7,18,6.060091
-7.2,18,6.070276
-8.6,18,6.076458
-8.1,18,6.086342
-7.6,18,6.095371
13.2,18,6.105553
12.5,18,6.135603
12.25,18,6.146922
1.75,18,6.153905
13.1,18,6.165156
15.4,18,6.174001
12.65,18,6.184644
13.05,18,6.193264
12.8,18,6.201503
13.3,18,6.210602
-7.9,18,6.220115
-7.8,18,6.228221
-8.6,18,6.233217
-7.55,18,6.244662
-8.25,18,6.254146
11.55,18,6.288157
-7.55,18,6.296598
-8.9,18,6.305448
11.65,18,6.314231
-7.2,18,6.323717
2.05,18,6.329909
-8.8,18,6.34097
12.5,18,6.347569
-8.7,18,6.360217
1.5,18,6.374673
-6.35,18,6.390835
2.1,18,6.402562
-8.65,18,6.412398
-8.35,18,6.42032
1.85,18,6.45012
13.5,18,6.45012
14.25,18,6.469061
-8.75,18,6.479333
13.3,18,6.486327
2.9,18,6.496487
13.9,18,6.504705
12.95,18,6.513555
11.95,18,6.522699
13.3,18,6.529808
17.15,18,6.539886
-8.65,18,6.547604
13.1,18,6.559069
-8.05,18,6.568005
12.75,18,6.602034
14.25,18,6.602034
12.5,18,6.620767
-8.45,18,6.629904
-6.25,18,6.638883
14.25,18,6.649221
-8.3,18,6.659095
14.65,18,6.669398
13.05,18,6.676881
11.9,18,6.687061
-7.1,18,6.697586
-8.05,18,6.707543
13.5,18,6.716824
-7.5,18,6.726773
12.75,18,6.735478
-7.4,18,6.769118
-7.2,18,6.781194
-9.25,18,6.790225
2.9,18,6.799626
1.75,18,6.807558
11.85,18,6.815726
13.3,18,6.822753
-7.1,18,6.83171
2.9,18,6.838704
-7.75,18,6.849938
13.65,18,6.856717
2.25,18,6.868372
-8.0,18,6.877499
-8.6,18,6.886443
12.55,18,6.921798
-9.2,18,6.929029
-8.75,18,6.938911
14.05,18,6.948102
12.05,18,6.954281
-7.75,18,6.966117
-8.2,18,6.97351
14.75,18,6.984531
-8.55,18,6.990154
-8.6,18,7.003592
-8.4,18,7.011919
-8.3,18,7.020833
13.8,18,7.026545
-8.9,18,7.039273
1.8,18,7.069479
-8.75,18,7.074474
-6.35,18,7.087552
12.2,18,7.098939
-8.4,18,7.106846
13.05,18,7.11535
12.35,18,7.123836
1.7,18,7.129457
1.5,18,7.141826
-9.15,18,7.151964
-7.85,18,7.159003
-7.8,18,7.168253
13.2,18,7.175184
-8.4,18,7.18673
2.1,18,7.220597
14.05,18,7.274163
-7.2,18,7.283515
-8.8,18,7.29323
-8.25,18,7.303515
14.65,18,7.312565
-8.95,18,7.321588
-8.65,18,7.329918
13.45,18,7.338885
-6.35,18,7.346872
-8.65,18,7.356642
12.95,18,7.366082
-8.45,18,7.376186
11.85,18,7.386355
14.05,18,7.419724
-8.8,18,7.425994
12.4,18,7.43672
14.5,18,7.445024
-7.7,18,7.454972
-9.2,18,7.463097
-7.6,18,7.471183
12.45,18,7.48026
13.0,18,7.486745
11.9,18,7.499491
12.05,18,7.505536
-9.4,18,7.521876
12.1,18,7.532099
12.25,18,7.539652
1.7,18,7.548038
-8.65,18,7.578053
13.35,18,7.590503
13.15,18,7.600422
13.65,18,7.609457
13.05,18,7.615768
-7.5,18,7.625668
11.7,18,7.634754
12.8,18,7.638519
12.15,18,7.652683
14.4,18,7.661145
-8.4,18,7.668969
14.2,18,7.680439
11.7,18,7.690257
-8.2,18,7.703505
12.15,18,7.740904
12.0,18,7.740904
12.75,18,7.75906
13.35,18,7.767385
12.15,18,7.773714
12.9,18,7.78442
12.9,18,7.789995
-8.5,18,7.802255
-8.9,18,7.812552
-8.25,18,7.819894
11.9,18,7.829687
3.9,18,7.837746
13.25,18,7.847003
12.05,18,7.857144
2.1,18,7.892378
12.25,18,7.900611
12.25,18,7.909328
-8.95,18,7.917653
13.6,18,7.926746
-8.7,18,7.93712
12.45,18,7.947675
-8.6,18,7.953974
13.25,18,7.966322
-7.9,18,7.974121
-8.6,18,7.984171
-7.1,18,7.991244
13.5,18,7.998135
-7.35,18,8.007371
-7.95,18,8.044724
-8.9,18,8.055986
12.9,18,8.066498
12.5,18,8.076422
-8.5,18,8.086194
-8.6,18,8.094104
-8.25,18,8.100781
12.4,18,8.111539
1.3,18,8.119457
12.5,18,8.127673
12.05,18,8.135226
-8.45,18,8.143549
-6.85,18,8.150783
13.8,18,8.161996
11.9,18,8.172046
15.25,18,8.203727
-8.5,18,8.207733
-6.55,18,8.220409
13.1,18,8.225946
-8.7,18,8.238549
11.65,18,8.247977
-7.5,18,8.255883
-8.95,18,8.268018
2.8,18,8.27713
12.15,18,8.284798
12.4,18,8.293043
-8.85,18,8.302433
13.6,18,8.313191
15.5,18,8.321715
-8.65,18,8.358923
-8.1,18,8.365217
14.25,18,8.37709
13.75,18,8.386276
2.0,18,8.396083
-8.9,18,8.405143
11.95,18,8.414606
-6.7,18,8.422391
-8.55,18,8.431762
13.35,18,8.440845
12.5,18,8.452046
2.0,18,8.459965
-8.3,18,8.468898
-9.05,18,8.478204
-7.65,18,8.510349
13.7,18,8.518564
-8.0,18,8.528586
12.8,18,8.536854
3.2,18,8.546185
11.75,18,8.554862
12.65,18,8.564795
-9.15,18,8.574112
17.05,18,8.583112
12.5,18,8.593628
2.2,18,8.603742
12.25,18,8.613431
13.3,18,8.632271
14.7,18,8.642772
14.1,18,8.698353
12.45,18,8.709584
2.15,18,8.721456
13.45,18,8.730918
-8.2,18,8.746179
-9.1,18,8.757926
14.35,18,8.769961
12.95,18,8.780039
13.6,18,8.789154
15.3,18,8.801921
-8.35,18,8.814818
13.6,18,8.82355
-8.75,18,8.833607
-7.1,18,8.844709
-8.95,18,8.882773
13.2,18,8.892623
1.6,18,8.902394
-8.15,18,8.912436
12.5,18,8.921322
-7.95,18,8.931193
-8.7,18,8.939707
-7.3,18,8.949477
13.05,18,8.959944
12.6,18,8.969912
-9.05,18,8.980722
12.45,18,8.990613
1.5,18,9.002704
2.1,18,9.012643
14.05,18,9.022557
15.15,18,9.057908
13.25,18,9.067495
-8.55,18,9.077527
13.25,18,9.088626
16.05,18,9.098212
-8.15,18,9.108321
11.8,18,9.117506
12.4,18,9.127446
-8.35,18,9.137264
12.25,18,9.147826
-7.4,18,9.15734
15.0,18,9.168433
-8.45,18,9.178421
2.65,18,9.187071
-8.4,18,9.219978
14.0,18,9.232198
13.4,18,9.260047
-8.65,18,9.275893
13.25,18,9.285141
13.8,18,9.294392
13.2,18,9.303319
14.2,18,9.312876
12.4,18,9.324093
-8.35,18,9.333159
2.1,18,9.34443
-8.3,18,9.35386
2.0,18,9.365554
-6.4,18,9.384212
-8.95,18,9.435757
-7.75,18,9.454268
13.15,18,9.467299
11.8,18,9.477971
13.3,18,9.491065
-8.05,18,9.508627
-7.8,18,9.525083
13.1,18,9.542664
-8.85,18,9.557326
-9.15,18,9.576344
12.4,18,9.585561
14.6,18,9.596268
-8.85,18,9.605261
12.75,18,9.616403
-8.85,18,9.65239
-7.65,18,9.662203
13.85,18,9.671979
12.95,18,9.696953
-8.55,18,9.709426
-8.75,18,9.719309
-8.95,18,9.730927
-8.6,18,9.740591
-7.25,18,9.753416
12.55,18,9.765939
-7.25,18,9.773452
11.65,18,9.787555
12.95,18,9.797646
13.35,18,9.807249
1.5,18,9.817326
12.35,18,9.850758
2.65,18,9.861018
-9.55,18,9.872389
14.7,18,9.879993
11.9,18,9.893615
-7.4,18,9.904269
2.75,18,9.917324
-8.6,18,9.927432
-8.25,18,9.937632
-9.35,18,9.947212
12.15,18,9.955673
-9.0,18,9.965487
-8.1,18,9.975402
-7.3,18,9.985714
-9.0,18,10.018923
-7.95,18,10.025945
-7.45,18,10.037449
13.85,18,10.047702
-8.2,18,10.058334
-8.95,18,10.066879
2.0,18,10.076507
-7.85,18,10.087433
12.0,18,10.097226
12.15,18,10.106815
-8.45,18,10.11777
12.3,18,10.126915
1.25,18,10.13717
12.2,18,10.148036
12.5,18,10.190135
-8.1,18,10.199363
12.75,18,10.210211
-7.9,18,10.221435
13.0,18,10.230498
13.25,18,10.242154
12.05,18,10.251733
-7.35,18,10.259847
11.95,18,10.269224
13.95,18,10.278526
-9.15,18,10.290628
-8.25,18,10.300561
-8.85,18,10.308769
-7.4,18,10.318958
13.3,18,10.355757
12.45,18,10.366737
14.35,18,10.383001
13.3,18,10.402223
13.4,18,10.417715
-7.9,18,10.426787
2.8,18,10.436568
-7.9,18,10.447592
1.5,18,10.457711
13.4,18,10.466669
-7.4,18,10.476717
14.05,18,10.487378
12.65,18,10.49706
12.55,18,10.508327
12.2,18,10.54658
1.7,18,10.556767
-9.05,18,10.567432
13.05,18,10.577975
12.35,18,10.588164
-7.85,18,10.598555
16.25,18,10.607167
13.0,18,10.617479
-8.65,18,10.626906
-8.2,18,10.704997
-8.75,18,10.715379
-9.0,18,10.734429
13.6,18,10.746653
-8.7,18,10.755784
2.3,18,10.765964
13.15,18,10.807311
12.55,18,10.82006
-6.9,18,10.830261
-8.95,18,10.840066
-7.45,18,10.848213
-8.2,18,10.858325
-9.2,18,10.866819
-9.25,18,10.876349
4.7,18,10.884568
3.1,18,10.894711
11.75,18,10.906226
14.45,18,10.916249
-8.8,18,10.92784
12.25,18,10.937923
15.5,18,10.97486
12.2,18,10.983702
-9.0,18,10.992592
1.8,18,11.003654
14.2,18,11.014789
3.3,18,11.023394
-8.7,18,11.034492
13.4,18,11.044509
-8.1,18,11.054532
13.6,18,11.066378
12.4,18,11.075898
-8.55,18,11.088683
-9.65,18,11.098135
12.1,18,11.113255
13.6,18,11.149641
12.95,18,11.158696
12.5,18,11.171871
2.6,18,11.180949
-8.85,18,11.191582
-8.65,18,11.203508
-8.8,18,11.211664
-8.9,18,11.223913
13.75,18,11.233454
-8.5,18,11.243491
12.5,18,11.253003
-8.55,18,11.264082
-9.2,18,11.270863
1.8,18,11.282478
13.25,18,11.31833
-8.0,18,11.327833
-7.5,18,11.346551
-7.85,18,11.362481
-7.9,18,11.380902
-8.1,18,11.397579
15.6,18,11.4082
2.95,18,11.417771
-9.1,18,11.428741
-7.3,18,11.439884
-8.8,18,11.448123
-8.65,18,11.458223
-6.55,18,11.468822
13.1,18,11.477954
-9.0,18,11.491341
-8.4,18,11.532098
12.55,18,11.543377
13.2,18,11.551621
11.9,18,11.564723
12.05,18,11.582488
-6.8,18,11.591146
-8.6,18,11.602578
14.2,18,11.612958
1.75,18,11.622951
12.95,18,11.631331
-8.3,18,11.640331
12.2,18,11.649517
12.85,18,11.658818
-8.55,18,11.662963
-8.5,18,11.702869
11.8,18,11.712773
-8.0,18,11.722267
11.75,18,11.731721
14.0,18,11.74043
11.9,18,11.75114
14.1,18,11.759813
-8.4,18,11.769131
1.85,18,11.778858
-8.3,18,11.785925
14.75,18,11.795375
-8.45,18,11.804181
-8.2,18,11.813238
-8.35,18,11.819748
-6.4,18,11.849831
12.9,18,11.849831
13.05,18,11.873731
-6.85,18,11.882905
13.1,18,11.892595
-7.4,18,11.90099
13.7,18,11.910108
-7.3,18,11.916115
-9.25,18,11.926568
13.55,18,11.935474
3.4,18,11.942421
-8.3,18,11.952643
12.85,18,11.961377
-7.55,18,11.970826
2.4,18,12.00104
