#{"t_start": 1776096173.95502, "env_id": "None"}
r,l,t
-8.0,18,6.812974
13.9,18,6.821039
-7.25,18,6.841168
-8.95,18,6.854974
14.75,18,6.866255
-6.85,18,6.878309
-9.5,18,6.894093
-7.6,18,7.307246
2.3,18,7.317877
-8.6,18,7.338722
-7.8,18,7.350232
-9.35,18,7.358531
-8.2,18,7.376352
-7.55,18,7.390154
-7.2,18,7.445798
-7.65,18,7.459653
11.9,18,7.471776
-8.1,18,7.485352
-8.7,18,7.501253
-7.75,18,7.511931
13.4,18,7.527459
-7.8,18,7.541245
-7.4,18,7.555054
11.4,18,7.568462
-8.15,18,7.580039
-6.7,18,7.592093
-7.3,18,7.604143
-8.6,18,7.617933
-8.5,18,7.675657
-7.85,18,7.689568
-8.15,18,7.7022
-9.5,18,7.716611
13.1,18,7.728664
-6.95,18,7.740369
-9.35,18,7.75618
-7.55,18,7.767067
2.9,18,7.782586
-7.05,18,7.794721
-7.9,18,7.806515
-8.4,18,7.820317
1.6,18,7.832368
-5.95,18,7.844882
-9.15,18,7.901522
1.75,18,7.903524
-7.45,18,7.925065
-8.75,18,7.935078
-9.25,18,7.945091
3.55,18,7.956848
-7.65,18,7.969825
-8.4,18,7.985097
-7.9,18,8.001541
-8.1,18,8.015696
-7.3,18,8.02749
-8.2,18,8.041289
1.35,18,8.055086
-6.2,18,8.067126
14.25,18,8.081358
-9.5,18,8.139584
-8.35,18,8.153344
-8.75,18,8.167103
-9.55,18,8.179119
-7.2,18,8.192878
-7.15,18,8.20535
15.15,18,8.218634
13.25,18,8.23146
13.4,18,8.242476
-8.8,18,8.256237
2.1,18,8.268252
2.75,18,8.278006
-8.95,18,8.292502
11.85,18,8.305226
-8.65,18,8.356755
-8.85,18,8.369319
14.15,18,8.384225
-8.25,18,8.400264
-7.7,18,8.417391
-8.8,18,8.434944
-6.65,18,8.447541
-6.2,18,8.460338
-8.75,18,8.474102
-7.55,18,8.488854
-8.55,18,8.507209
-8.2,18,8.51888
-8.35,18,8.531812
-6.8,18,8.540256
-7.05,18,8.62436
2.05,18,8.644833
14.2,18,8.66068
-8.2,18,8.66068
-9.05,18,8.686308
-9.05,18,8.735711
1.5,18,8.74831
-9.2,18,8.760587
14.1,18,8.772105
-8.45,18,8.785866
-7.85,18,8.799626
-9.05,18,8.815426
11.8,18,8.815426
-9.25,18,8.839275
2.75,18,8.897236
12.65,18,8.911336
-7.4,18,8.927834
1.45,18,8.945225
-7.1,18,8.959785
3.4,18,8.972182
-9.15,18,8.992614
-7.7,18,9.006553
-8.0,18,9.020537
-7.6,18,9.034556
-6.6,18,9.052996
-8.9,18,9.068708
-9.4,18,9.082472
2.3,18,9.09449
-7.0,18,9.108287
-8.55,18,9.170304
-7.95,18,9.187767
-9.1,18,9.205546
12.15,18,9.220521
2.6,18,9.23454
-9.7,18,9.248302
13.0,18,9.264858
1.95,18,9.279911
-9.5,18,9.294972
-7.8,18,9.308768
-6.45,18,9.322561
-8.5,18,9.340199
-4.8,18,9.356467
-9.35,18,9.368515
-8.55,18,9.434045
-9.65,18,9.450778
-8.7,18,9.466282
2.85,18,9.483287
13.2,18,9.498142
-8.9,18,9.513168
-7.45,18,9.52693
-7.9,18,9.541144
-7.2,18,9.556668
14.3,18,9.569503
3.7,18,9.582334
-9.25,18,9.596223
-8.25,18,9.611369
-8.4,18,9.622201
2.0,18,9.687111
13.65,18,9.701493
-8.3,18,9.715296
-7.55,18,9.729094
13.2,18,9.741138
13.6,18,9.756931
-7.35,18,9.774698
-8.35,18,9.787997
-8.15,18,9.804429
-8.75,18,9.826757
-7.9,18,9.846343
-6.5,18,9.863965
-7.65,18,9.89326
-7.3,18,9.912801
2.4,18,9.996986
-7.4,18,10.019076
-6.45,18,10.03934
-8.85,18,10.063324
-9.35,18,10.078276
2.15,18,10.097169
1.85,18,10.119373
-6.6,18,10.137628
-9.1,18,10.165629
-8.6,18,10.187352
-6.2,18,10.210694
-8.55,18,10.238695
12.2,18,10.260754
3.8,18,10.283055
-7.6,18,10.360709
-7.9,18,10.377806
-8.7,18,10.392659
-9.2,18,10.412824
-8.65,18,10.428176
-8.25,18,10.448339
2.05,18,10.462873
-8.9,18,10.481047
13.55,18,10.503282
14.2,18,10.52349
-7.3,18,10.543876
11.9,18,10.567481
-6.65,18,10.596214
-8.85,18,10.620794
-7.15,18,10.649954
-8.7,18,10.724921
14.05,18,10.74534
14.2,18,10.758358
-9.2,18,10.776577
3.25,18,10.793379
-8.5,18,10.8118
-8.95,18,10.835366
-9.1,18,10.855543
-8.5,18,10.87271
-8.45,18,10.889361
-9.35,18,10.900379
-9.15,18,10.916136
-8.2,18,10.932053
12.6,18,10.954892
13.65,18,11.020355
-7.9,18,11.04056
-7.75,18,11.060146
-9.05,18,11.086448
-8.65,18,11.102335
13.2,18,11.121424
13.25,18,11.133615
-7.7,18,11.147415
-7.65,18,11.163516
-7.2,18,11.179528
3.65,18,11.205266
-8.95,18,11.224703
-7.6,18,11.224703
1.15,18,11.245488
-8.2,18,11.327044
-7.6,18,11.339094
-8.35,18,11.358427
3.4,18,11.373566
-8.75,18,11.387379
-8.3,18,11.409824
-7.4,18,11.428647
-7.55,18,11.444194
-6.5,18,11.4613
-9.55,18,11.475804
-8.5,18,11.494761
-7.75,18,11.520778
-6.55,18,11.535463
15.7,18,11.548455
-6.1,18,11.674796
-6.75,18,11.696474
-8.5,18,11.713441
-8.15,18,11.742232
-8.9,18,11.759747
-6.65,18,11.770214
2.0,18,11.788113
13.65,18,11.80498
13.8,18,11.821384
-7.75,18,11.847815
15.8,18,11.868091
-7.35,18,11.880682
15.25,18,11.890414
-6.5,18,11.906117
-8.65,18,11.926062
12.2,18,12.022915
-8.5,18,12.050138
2.95,18,12.064344
-9.25,18,12.078754
2.05,18,12.091309
12.1,18,12.102688
-9.2,18,12.12204
13.2,18,12.140691
-7.7,18,12.159574
-6.5,18,12.178068
-8.8,18,12.196263
-9.15,18,12.2021
-6.55,18,12.218164
12.45,18,12.242689
13.6,18,12.309452
13.8,18,12.325383
-8.95,18,12.337168
-8.7,18,12.35713
-7.95,18,12.377829
11.8,18,12.401645
2.6,18,12.427697
-7.9,18,12.45356
-9.55,18,12.477297
-8.75,18,12.501243
-8.8,18,12.525116
-9.35,18,12.556547
-7.45,18,12.572216
2.35,18,12.602507
-8.6,18,12.670234
-8.95,18,12.690028
2.1,18,12.705101
-7.6,18,12.717345
-7.95,18,12.733516
12.95,18,12.760936
-9.4,18,12.778718
-9.0,18,12.794487
-7.75,18,12.819518
-7.4,18,12.836345
-8.0,18,12.8512
11.45,18,12.865242
-8.2,18,12.890484
-7.9,18,12.913639
-8.65,18,12.981088
-7.5,18,13.378165
1.25,18,13.405314
-9.0,18,13.429441
3.3,18,13.457381
-8.65,18,13.475199
-8.35,18,13.487392
-8.8,18,13.505447
-8.55,18,13.523744
-6.7,18,13.542026
2.5,18,13.559995
-7.7,18,13.584505
-6.25,18,13.620896
-7.9,18,13.638448
-7.1,18,13.719624
-8.15,18,13.733739
-8.35,18,13.755924
-7.1,18,13.775077
-7.75,18,13.796295
-6.75,18,13.810591
-8.35,18,13.828602
-8.5,18,13.846684
-8.1,18,13.86105
-8.8,18,13.883453
-9.1,18,13.91559
-9.05,18,13.945017
11.9,18,13.963709
-8.05,18,13.984201
13.35,18,14.00199
12.25,18,14.093386
-8.1,18,14.114471
-8.8,18,14.131719
-7.5,18,14.147961
12.75,18,14.164137
12.7,18,14.188868
-6.7,18,14.209986
13.35,18,14.226154
-8.65,18,14.241663
-8.55,18,14.258641
-8.35,18,14.274391
13.1,18,14.294363
-8.75,18,14.306215
-8.5,18,14.324691
-8.1,18,14.399624
-7.6,18,14.422815
-8.0,18,14.439451
12.0,18,14.458482
13.25,18,14.47233
13.8,18,14.486067
1.55,18,14.499753
-6.55,18,14.514156
-8.25,18,14.529181
3.3,18,14.547402
-8.8,18,14.559872
-8.2,18,14.572089
-9.05,18,14.589825
3.05,18,14.596457
14.4,18,14.656331
-7.9,18,14.667286
2.45,18,14.678825
13.25,18,14.691932
-9.25,18,14.704992
14.05,18,14.7191
-8.05,18,14.732089
-7.95,18,14.745857
13.2,18,14.760576
-8.4,18,14.775065
-8.6,18,14.787666
-8.45,18,14.798556
-8.95,18,14.81224
-8.6,18,14.824153
12.1,18,14.889437
-9.05,18,14.910097
-9.3,18,14.92436
-6.5,18,14.936559
-8.75,18,14.952276
-8.1,18,14.970024
-9.05,18,14.983686
-7.4,18,14.997775
-7.3,18,15.012181
-7.2,18,15.038953
13.9,18,15.054321
-9.0,18,15.069859
15.75,18,15.085378
-8.75,18,15.099862
-8.6,18,15.106951
12.85,18,15.170074
-8.35,18,15.188877
2.7,18,15.203104
1.75,18,15.215643
12.95,18,15.228053
-7.95,18,15.244303
13.65,18,15.256408
-7.65,18,15.268983
3.45,18,15.284026
-8.7,18,15.299577
-8.8,18,15.313614
-8.3,18,15.326251
13.35,18,15.340495
-7.45,18,15.353632
-9.0,18,15.432405
-8.2,18,15.444565
-9.15,18,15.45673
-7.55,18,15.470629
-8.35,18,15.484978
15.0,18,15.505909
-8.25,18,15.525292
-8.95,18,15.537174
11.65,18,15.554098
13.65,18,15.567085
-8.3,18,15.580627
-6.3,18,15.591557
12.8,18,15.614623
2.55,18,15.623876
-8.7,18,15.674467
1.85,18,15.686224
3.6,18,15.699936
-7.05,18,15.717605
-8.75,18,15.730968
-8.55,18,15.743594
13.6,18,15.757469
11.9,18,15.763477
14.05,18,15.783844
12.8,18,15.797196
-7.15,18,15.80812
12.25,18,15.824321
15.35,18,15.836356
13.0,18,15.850293
-9.15,18,15.90796
1.8,18,15.924273
12.1,18,15.93679
-8.95,18,15.950228
-9.1,18,15.965782
-6.0,18,15.977875
11.75,18,15.989957
15.05,18,16.002124
11.95,18,16.016366
-7.55,18,16.036366
-7.9,18,16.050258
-9.4,18,16.062657
-7.8,18,16.075937
-9.25,18,16.088656
2.7,18,16.149026
-9.05,18,16.16231
1.95,18,16.1759
-9.4,18,16.18978
-6.85,18,16.204116
-6.8,18,16.216058
-7.75,18,16.228147
13.8,18,16.244164
12.5,18,16.257491
-7.9,18,16.264999
-8.75,18,16.281998
-7.7,18,16.296386
13.25,18,16.311239
13.3,18,16.324195
-6.7,18,16.336059
-6.95,18,16.39573
-8.6,18,16.407758
-7.4,18,16.422113
-8.25,18,16.434095
-8.65,18,16.448363
11.85,18,16.463947
-8.5,18,16.478625
-9.3,18,16.496593
-7.3,18,16.510239
13.15,18,16.523937
-8.4,18,16.535459
1.5,18,16.54912
-6.55,18,16.56267
-8.4,18,16.578582
-7.25,18,16.635073
-8.55,18,16.650886
13.95,18,16.664335
11.85,18,16.681141
-7.1,18,16.693939
-6.45,18,16.707062
-7.45,18,16.719978
-8.45,18,16.738527
-8.2,18,16.752293
-7.3,18,16.763264
-6.9,18,16.777772
-7.5,18,16.796902
-8.45,18,16.810717
-7.8,18,16.824592
-7.6,18,16.88439
-8.7,18,16.907136
-7.85,18,16.920662
-9.75,18,16.932848
-9.05,18,16.946653
-7.5,18,16.958704
11.65,18,16.972502
-7.55,18,16.986277
-7.8,18,17.000038
11.95,18,17.016874
11.85,18,17.032058
-7.4,18,17.044862
14.35,18,17.052937
-7.6,18,17.067153
11.85,18,17.144422
15.7,18,17.159602
-6.95,18,17.173833
-6.25,18,17.183851
-7.75,18,17.204156
-9.25,18,17.217729
-7.95,18,17.234845
-8.7,18,17.248668
12.2,18,17.261809
2.5,18,17.274487
-7.65,18,17.286832
18.2,18,17.298455
12.4,18,17.317325
-7.45,18,17.330065
-8.75,18,17.341227
-7.35,18,17.412748
11.95,18,17.425633
14.55,18,17.438335
11.9,18,17.453661
-9.6,18,17.464981
-8.7,18,17.479749
-9.0,18,17.491545
-8.7,18,17.505351
12.85,18,17.517377
14.15,18,17.531138
-7.5,18,17.544064
-9.1,18,17.553325
-7.35,18,17.571816
2.0,18,17.583334
-6.75,18,17.636942
-7.7,18,17.650188
13.1,18,17.663603
-9.1,18,17.677628
-8.9,18,17.689419
1.95,18,17.70281
4.3,18,17.716803
-9.25,18,17.730753
-7.8,18,17.746847
-8.4,18,17.760858
-7.0,18,17.773109
12.7,18,17.784106
-8.55,18,17.800004
-8.45,18,17.813747
-8.15,18,17.880375
-9.35,18,17.894237
2.7,18,17.90687
11.75,18,17.921322
-9.4,18,17.933649
-9.3,18,17.948331
-9.65,18,17.960398
-7.65,18,17.985678
12.05,18,17.997813
-8.3,18,18.011619
3.6,18,18.019776
-8.2,18,18.03583
2.55,18,18.04774
13.0,18,18.065549
-7.6,18,18.13013
-8.4,18,18.147906
-6.4,18,18.171699
1.75,18,18.191361
16.0,18,18.20559
-9.35,18,18.219727
-7.35,18,18.273581
13.45,18,18.287184
-9.1,18,18.298615
-7.4,18,18.313545
-8.1,18,18.326605
-8.8,18,18.336648
1.8,18,18.348442
-8.3,18,18.360234
13.45,18,18.413645
3.4,18,18.425921
-7.45,18,18.440616
-8.15,18,18.457649
1.6,18,18.475456
-9.0,18,18.495535
-8.05,18,18.510745
13.8,18,18.522658
-6.6,18,18.534679
-9.5,18,18.775707
12.9,18,18.792844
11.8,18,18.813406
-4.7,18,18.827004
-7.4,18,18.840215
-7.65,18,18.848298
-9.1,18,18.920983
-6.9,18,18.934816
-5.15,18,18.949005
-7.95,18,18.963751
-9.3,18,18.980781
1.9,18,18.994588
-8.35,18,19.008397
-6.4,18,19.023378
12.15,18,19.03783
-8.9,18,19.050987
-8.55,18,19.063743
-8.85,18,19.076762
13.0,18,19.08852
11.65,18,19.100643
-7.3,18,19.185016
-8.05,18,19.202113
12.5,18,19.217928
-8.0,18,19.238312
14.3,18,19.252186
12.15,18,19.265051
-6.85,18,19.278209
14.0,18,19.290877
-7.9,18,19.303521
2.65,18,19.314539
-7.65,18,19.328385
-7.5,18,19.346354
-9.05,18,19.359966
2.5,18,19.373324
-7.7,18,19.428323
11.6,18,19.442349
12.95,18,19.459048
13.15,18,19.471951
-7.8,18,19.487296
-7.8,18,19.499054
3.5,18,19.513616
12.4,18,19.525133
-7.55,18,19.537151
-9.5,18,19.546906
-8.5,18,19.562942
11.2,18,19.577801
-9.1,18,19.58952
-7.6,18,19.602137
12.25,18,19.656977
-7.5,18,19.670737
14.75,18,19.679985
-7.5,18,19.694708
-9.35,18,19.704418
3.0,18,19.720709
-8.5,18,19.735713
14.1,18,19.748734
1.8,18,19.764497
-9.05,18,19.780586
-8.2,18,19.795362
14.1,18,19.808269
-7.35,18,19.8214
-8.65,18,19.833419
-8.4,18,19.847179
1.85,18,19.908514
-8.4,18,19.92259
2.3,18,19.936291
13.15,18,19.948808
-8.45,18,19.961458
11.95,18,19.97257
13.75,18,19.98644
2.8,18,20.000468
-9.0,18,20.015662
-8.8,18,20.028792
-7.85,18,20.04055
-7.85,18,20.050565
-9.25,18,20.062323
-8.55,18,20.07408
-9.7,18,20.129082
-9.25,18,20.141007
-8.5,18,20.15413
-8.0,18,20.168153
-8.25,18,20.181446
-9.0,18,20.193462
12.25,18,20.20522
-9.5,18,20.222986
2.65,18,20.234794
-8.75,18,20.247445
-8.15,18,20.253454
-8.2,18,20.272419
